filename,prediciton,Probability for each possible outcome
476.tif,0,[1.0000000e+00 4.3443268e-10]
7236.tif,1,[0.00215704 0.9978429 ]
4717.tif,1,[0.02694889 0.9730511 ]
2414.tif,1,[4.9575652e-21 1.0000000e+00]
8887.tif,1,[6.616544e-28 1.000000e+00]
2164.tif,1,[3.564626e-11 1.000000e+00]
2789.tif,1,[2.3440135e-36 1.0000000e+00]
3454.tif,1,[2.9851237e-19 1.0000000e+00]
8267.tif,1,[2.9244417e-25 1.0000000e+00]
5757.tif,0,[0.98586917 0.01413085]
2010.tif,1,[3.8325772e-05 9.9996161e-01]
7424.tif,1,[1.2485289e-07 9.9999988e-01]
3124.tif,1,[8.077575e-16 1.000000e+00]
7418.tif,1,[0. 1.]
5232.tif,1,[2.3026032e-10 1.0000000e+00]
7357.tif,0,[0.8155908  0.18440923]
1040.tif,1,[2.866788e-11 1.000000e+00]
4138.tif,1,[8.011096e-19 1.000000e+00]
1901.tif,1,[8.8790554e-04 9.9911207e-01]
9622.tif,1,[0.19706994 0.80293006]
7182.tif,1,[6.5179483e-04 9.9934822e-01]
1295.tif,0,[1.000000e+00 8.059512e-15]
2950.tif,1,[2.8005146e-17 1.0000000e+00]
6303.tif,1,[3.3124262e-31 1.0000000e+00]
8306.tif,1,[8.6166463e-19 1.0000000e+00]
5805.tif,1,[0. 1.]
5811.tif,1,[0.0197358 0.9802642]
8892.tif,1,[1.00288055e-07 9.99999881e-01]
9554.tif,1,[4.2637292e-33 1.0000000e+00]
6868.tif,1,[0. 1.]
1861.tif,1,[3.8131638e-22 1.0000000e+00]
4919.tif,1,[3.1420993e-35 1.0000000e+00]
4927.tif,1,[2.3206733e-16 1.0000000e+00]
3709.tif,1,[1.0416188e-21 1.0000000e+00]
663.tif,1,[0.00284492 0.9971551 ]
7786.tif,1,[4.0320683e-30 1.0000000e+00]
9973.tif,0,[1.0000000e+00 1.3224164e-08]
5813.tif,0,[1.0000000e+00 4.7900206e-10]
850.tif,1,[1.8826915e-14 1.0000000e+00]
4516.tif,1,[2.9968628e-20 1.0000000e+00]
5783.tif,0,[1.000000e+00 2.301646e-10]
1254.tif,1,[8.073895e-12 1.000000e+00]
4853.tif,1,[1.205462e-15 1.000000e+00]
4847.tif,1,[2.5088267e-11 1.0000000e+00]
273.tif,1,[1.248154e-35 1.000000e+00]
8933.tif,1,[2.2089794e-29 1.0000000e+00]
3866.tif,0,[9.991517e-01 8.483075e-04]
4884.tif,1,[2.325749e-06 9.999976e-01]
3669.tif,0,[9.9952173e-01 4.7829156e-04]
5219.tif,1,[4.9028444e-33 1.0000000e+00]
1255.tif,1,[7.702966e-18 1.000000e+00]
8477.tif,1,[2.051262e-17 1.000000e+00]
9796.tif,1,[7.322038e-11 1.000000e+00]
3287.tif,1,[9.390075e-10 1.000000e+00]
662.tif,0,[1.00000000e+00 1.02948934e-10]
2358.tif,1,[3.7956454e-08 1.0000000e+00]
9594.tif,1,[3.4618071e-15 1.0000000e+00]
1876.tif,1,[8.0680636e-30 1.0000000e+00]
5386.tif,1,[2.6338103e-06 9.9999738e-01]
